,Sentences,Categorize,Col,,,
82,Everyone in it is great.,subjective,1,,,
83,Just not experienced enough yet to know even what I’m looking for.,subjective,1,,,
84,"Particularly given that, even in the 1930s, it wouldn't have been that fast a trip to get there.",Objective,0,,,
85,Ooh Sneakers is the best!,subjective,1,,,
86,My voice is my passport!,subjective,1,,,
87,Dude watching this movie with 0 insight whatsoever was awesome.,subjective,1,,,
88,The last 1/4 of the movie got wild.,subjective,1,,,
89,By far the coolest professor I ever had in my time at UMass.,subjective,1,,,
90,Sorry to hear that this happened to him.,subjective,1,,,
91,And it may have.,Objective,0,,,
92,"We have no data from Disney about how much they’ve made from Disney+, only outside estimates.",Objective,0,,,
93,I watched *Brazil* again recently and couldn't stop laughing from start to finish.,subjective,1,,,
94,I thought it was just brilliant.,subjective,1,,,
95,And yet it's pushed in Hollywood corporate boardrooms against the working class people who want freedom and equality.,Objective,0,,,
96,"Like Chinese corporate ""communism"", SJW socialism is not about economic equality.",subjective,1,,,
97,I had no problems with Gosling at all.,subjective,1,,,
98,He did a fantastic job.,subjective,1,,,
99,I just can’t get into the movie itself.,subjective,1,,,
100,"It’s almost “so good, it’s bad” for me.",subjective,1,,,
101,"Just something about it doesn’t sit well with me, but it does for a lot of people.",subjective,1,,,
102,"From where we are now, I wouldn't bet on coming back in the spring for most students.",subjective,1,,,
103,It will take me a while to drink that in.,subjective,1,,,
104,At least I know what my next step is.,subjective,1,,,
105,I’ll mull this over and get back to you.,subjective,1,,,
106,"As I said, none of them are particularly great actors in the early days of the franchise.",subjective,1,,,
107,The second one was better imo,subjective,1,,,
108,"Uhhh, that is what's going to happen later in the semester in one of my classes...",Objective,0,,,
109,Willem Dafoe kills it,subjective,1,,,
110,The part about all staff getting tested on Thursday isn't true.,Objective,0,,,
111,"At Berk, they give each employee a day to get tested.",Objective,0,,,
112,I think the goal is to have some sort of system of rolling tests.,subjective,1,,,
113,"Where my gf was stationed, one person got tested Monday, one Tuesday, and one Wednesday.",Objective,0,,,
114,But I did hear about the blue wall as well.,Objective,0,,,
115,"From what I've heard, UMass might be swapping in full shifts of employees.",Objective,0,,,
116,One employee tests positive and a whole new crew gets brought in for a bit or something.,Objective,0,,,
117,That's just a rumor I've heard though.,Objective,0,,,
118,Thank you for the clarification :),subjective,1,,,
119,While I don’t think the plan is amazing I think calling it “suicidal” is a little bit overkill.,subjective,1,,,
120,Considering that RAs aren’t forced to be RAs.,Objective,0,,,
121,"I was lucky enough to see it on the big screen in black and white, was baller",subjective,1,,,
122,"Plus it mentions that this hasn’t been run through the employee unions, which is a pretty huge roadblock.",subjective,1,,,
123,WE ARE THE REVOLUTION!,subjective,1,,,
124,So my new comfort movie is The Way Way Back,subjective,1,,,
125,"Great concept, bad execution.",subjective,1,,,
126,Describes a lot of Netflix originals.,Objective,0,,,
127,Laura Francis - tougher class but worth it for when you get to upper levels.,subjective,1,,,
128,"Tests aren't all MC, which is nice for people who don't do well with it.",Objective,0,,,
129,They don't have money.. buuuuut they have plenty of expendable cash to ask Jaden Smith to give a shout-out.,Objective,0,,,
130,what's wrong with golfin bud the courses have been open since March... pretty social distance sport also.,subjective,1,,,
131,Be flexible with microphones/cameras being on or off.,Objective,0,,,
132,This should ideally be on a case-by-case basis.,Objective,0,,,
133,Thank you for being understanding with your students and trying to help make things better for everyone :),subjective,1,,,
134,"Topic detection, which won’t do what you need it to do.",Objective,0,,,
135,"Seriously, it’s very far beyond NLP.",Objective,0,,,
136,"What you might do, is build something that extracts equations from papers and simplifies them, expressing them symbolically.",Objective,0,,,
137,You might then build something that identifies equations in different papers that are identical.,Objective,0,,,
138,You could then build a dataset that organized paper by discipline and look for cross-discipline equation matches.,Objective,0,,,
139,"That won’t work generally, but you might get lucky and find a few.",Objective,0,,,
140,It's not my cool.,subjective,1,,,
141,Started a family got a job somewhere else.,Objective,0,,,
142,My father was a cop and I still have the utmost respect for them.,subjective,1,,,
143,It just wasn’t the right profession for me at the time,subjective,1,,,
144,"&nbsp; Really confused why it gets so much praise, especially from people who say they don't like formulaic biopics.",subjective,1,,,
145,What does UMass Dems think about the Tara Reade accusation?,Objective,0,,,
146,"Yeah, I was using in-year grosses.",Objective,0,,,
147,And it looks like with some adjusted numbers Once Upon A Time in Hollywood did sneak in.,subjective,1,,,
148,no best dorm imo but i was in kennedy and loved it.,subjective,1,,,
149,tbh anywhere you can get a z-room is gonna be the best,subjective,1,,,
150,Its even worse than that.,Objective,0,,,
151,But it actually came to pass.,Objective,0,,,
152,> but spoiler aversion is.,Objective,0,,,
153,"Movies in theaters used to run on a loop, and you walked in whenever.",Objective,0,,,
154,It has been the industry standard ever since.,subjective,1,,,
155,"Thanks, for batch size that is one of the hyper parameters of these network models.",Objective,0,,,
156,"But at a general level, yes that is expected.",Objective,0,,,
157,"I never said that movies need Hollywood endings, just that they do need some endings.",subjective,1,,,
158,"Godfather is the greatest, goodfellas 2",subjective,1,,,
159,"Oh man, he was great.",subjective,1,,,
160,"Thunder Road was hands down my favorite film of 2018, pumped for this one.",subjective,1,,,
161,Perhaps I should have put the joke more clearly.,subjective,1,,,
162,Still a lot to learn!,subjective,1,,,
163,Agreed nobody should leave they houses,subjective,1,,,
164,u/westurner thanks for the feedback!,subjective,1,,,
165,There's no guarantee that you'll get near-linear scaling when moving from a single GPU to distributed training.,Objective,0,,,
166,"Scaling will depend on hardware and data loading speed, among other factors.",Objective,0,,,
167,&#x200B;  >Does it make more sense to quote training time as n GPUs \* hours ?,Objective,0,,,
168,Israel is an Apartheid State.,Objective,0,,,
169,IDF acts like terrorists by enforcing collective punishment.,Objective,0,,,
170,I never really feel like that because failing personal enjoyment I always savor gaining a historical context.,subjective,1,,,
171,I never really regret time spent educating myself if that’s all I end up seeing it as.,subjective,1,,,
172,I know many are not like that but I kind of assume it anyway because it’s how I think.,subjective,1,,,
173,"But just as I believe people who love something I don’t, the same applies here.",subjective,1,,,
174,"If that's the biggest regret of your life, we need to trade lives lol",subjective,1,,,
175,Move out of massachusetts to a more conservative state and enjoy the freedom my man.,subjective,1,,,
176,The people are more friendly too,Objective,0,,,
177,About Time  or   Waves,Objective,0,,,
178,"Amy Adams also was a random metahuman-of-the-week, before eventually becoming a much more high-profile Lois Lane than Erica Durance.",Objective,0,,,
179,I did the research on Heidelberg.,Objective,0,,,
180,But I don't know how I missed it.,,,,,
181,I usually write down every university I want to apply to but somehow I didn't in this case.,Objective,0,,,
182,Tbh I am hearing it's name for the first time.,Objective,0,,,
183,Will definitely check it out.,Objective,0,,,
184,Thank you for the suggestions.,Objective,0,,,
185,That is what you call satire.,subjective,1,,,
186,We all know the intention was good but the execution was disgusting.,subjective,1,,,
187,"Okay, I'll give this a watch.",Objective,0,,,
188,yes lol cuz back then movies were very different there were very few long running franchises.,subjective,1,,,
189,"Along with his performances in 5th Element and Rush Hour, this would have completed the trifecta.",Objective,0,,,
190,!”  Damn good movie.,subjective,1,,,
191,"yeah, Lakeith actually said it's his best role he's done yet.",Objective,0,,,
192,Using human beings as batteries.,Objective,0,,,
193,Come on Matrix machines.,Objective,0,,,
194,"Even if the sun is blocked out, you got nuclear fuel in abundance.",Objective,0,,,
195,"Plus som many other sources like hydrogen, tidal, wind etc etc etc.",Objective,0,,,
196,Yeah I just don’t watch em anymore,subjective,1,,,
197,I feel Spike peaked at 25th Hour but that's just me,subjective,1,,,
198,Unpopular opinion: Akira is way overhyped & not that great of a movie.,subjective,1,,,
199,So are you saying that only some Jews are indigenous?,subjective,1,,,
200,My first thought when reading the post title was Margot Robbie in Wolf of Wall Street.,subjective,1,,,
201,"Use semantic similarity to rank the documents given a query, then use QA to find the optimal answer span.",Objective,0,,,
202,"Lastly, you may return the top n spans and introduce another ranking algorithm to find the most accurate answer.",Objective,0,,,
203,Lol what are you talking about  All I hear is constant complaints about movie theatres.,subjective,1,,,
204,How movies are so long now and they can't hold their pee.,Objective,0,,,
205,How kids ruin everything by talking during the movie.,subjective,1,,,
206,How there are too many trailers.,Objective,0,,,
207,How it's so expensive.,subjective,1,,,
208,Winona Rider as the mom in S1 of stranger things?,subjective,1,,,
209,Nutrition 130 for biological science,subjective,1,,,
210,Even though Hitchcock had more movies released I think Ozu ones were much better.,subjective,1,,,
211,Police Squad is hysterical.,Objective,0,,,
212,Real who fans grin their teeth and bare it.,subjective,1,,,
213,Is this a joke?,subjective,1,,,
214,How were those poor souls supposed to know?,subjective,1,,,
215,"Hey, ya like what ya like; nothin wrong with that.",Objective,0,,,
216,"I didn't particularly dislike the third one, I just didn't like it as much.",subjective,1,,,
217,They said it in the documentary but I forgot.,Objective,0,,,
218,"""*    *""Yup.",Objective,0,,,
219,I looked into ConceptNet.,Objective,0,,,
220,Thanks for the more information about it.,Objective,0,,,
221,I like this idea.,subjective,1,,,
222,There is another application here of this idea: reading / learning disabilities.,subjective,1,,,
223,"Because reading disabilities make it harder to read, those with them have a harder working through the literature.",Objective,0,,,
224,That would actually be fun,subjective,1,,,
225,There won’t ever be 0 chance of dying from corona,Objective,0,,,
226,That’s what my RA told me when i sent her a picture.,Objective,0,,,
227,"We killed them , and they never had a smell for us.",Objective,0,,,
228,But we also had some bigger actual beetle things in our room too.,Objective,0,,,
229,Note that the data producer is often a non-profit entity like a University or something.,Objective,0,,,
230,"They might be willing to sell a commercial license, but they may be unable  or unwilling .",Objective,0,,,
231,On the other hand they might just change the license if you ask.,Objective,0,,,
232,It took a while but that's what happened with one of the Japanese UD corpora.,Objective,0,,,
233,"Yes, being 50 is too old to be starting out in that role.",subjective,1,,,
234,I watch it every couple of years.,subjective,1,,,
235,It’s a wonderfully crafted and interwoven companion piece and it’s still one of my favorite DeNiro films ever.,subjective,1,,,
236,"While you wait for this one, go watch Thunder Road, which also stars  Jim Cummings.",subjective,1,,,
237,Edit: he also WROTE Thunder Road!,Objective,0,,,
238,"I work from home, do homework, watch lectures, and study in the same spot .",Objective,0,,,
239,Cramming a semester of content online doesn't work in practice.,Objective,0,,,
240,A class should be built with online learning in mind from the get-go.,Objective,0,,,
241,"I've taken online summer courses before, but it wasn't hell like this.",subjective,1,,,
242,"Then there’s no way umass campus can remain open to students, right though?",subjective,1,,,
243,A lot of the experts are predicting for a 2nd wave of the Coronavirus and to be quite frank.,subjective,1,,,
244,I have a feeling we're going to be back home just as fast as we're going to school.,subjective,1,,,
245,"looks very very cool, looking forward to playing it",subjective,1,,,
246,""", I feel most movies depict the giant leap and this one decided to focus on the small step.",subjective,1,,,
247,"I also really liked the music, it was atmospheric, haunting, it really fit the movie.",subjective,1,,,
248,I would ana de armas to marry me please thanks,subjective,1,,,
249,I'm pleased that it works for you.,subjective,1,,,
